doc/bookname,doc/authors,doc/publisher,doc/publication_year/0,doc/isbn13,doc/set_isbn13,doc/bookImageURL,doc/addition_symbol,doc/vol,doc/class_no,doc/book_count,doc/loan_count,doc/reg_date
"대한민국에 이런 학교가 있었어?:인생을 바꾸는 꿈의 1년, 벤자민인성영재학교 이야기",이승헌 지음,한문화멀티미디어,2018,9788956993416,,https://image.aladin.co.kr/product/17118/58/cover/8956993416_1.jpg,0,,372.94,1,1,2019-06-29
호호브로 탐라생활,한민경 지음,판미동,2019,9791158885083,,https://image.aladin.co.kr/product/18790/90/cover/k612635578_1.jpg,0,,818,1,3,2019-06-29
미래를 도모하는 방식 가운데:김엄지 소설집,김엄지 지음,문학과지성사,2015,9788932028026,,http://image.aladin.co.kr/product/7055/22/cover/8932028028_2.jpg,0,,813.6,1,3,2019-06-29
진정성 마케팅:끌리는 브랜드를 만드는 9가지 방법,김상훈;박선미 [공]지음,21세기북스(북이십일 21세기북스),2019,9788950980320,,https://image.aladin.co.kr/product/18679/23/cover/8950980320_1.jpg,0,,326.16,1,2,2019-06-29
청소하면서 듣는 음악,이재민 지음,워크룸 프레스,2018,9791189356040,,https://image.aladin.co.kr/product/16931/23/cover/k802534379_1.jpg,0,,670.4,1,1,2019-06-29
질의 응답:우리가 궁금해했던 여성 성기의 모든것,니나 브로크만;엘렌 스퇴켄 달 [공]지음;김명남 옮김,열린책들,2019,9788932919430,,https://image.aladin.co.kr/product/18560/4/cover/8932919437_1.jpg,0,,516.2,1,2,2019-06-29
내 마음을 구해줘:불안이 덮쳐올 때 나를 지키는 힘,오노 유타카 지음;이지현 옮김,키라북스,2017,9791155100547,,https://bookthumb-phinf.pstatic.net/cover/124/714/12471421.jpg?type=m1&udate=20170830,0,,325.04,1,2,2019-06-29
우리 아빠는 택배맨,양지안 글;김선배 그림,낮은산,2016,9791155250648,,http://image.aladin.co.kr/product/8652/38/cover/k522535491_1.jpg,7,,813.8,1,3,2019-06-29
나는 아마존에서 미래를 다녔다:평균 근속 1년 아마존에서 12년 일한 한국인이 깨달은 일과 삶을 설계하는 법,박정준 지음,한빛비즈,2019,9791157843183,,https://image.aladin.co.kr/product/18415/55/cover/k242534259_1.jpg,1,,325.04,1,6,2019-06-29
일 잘하는 사람은 단순하게 합니다,박소연 지음,길벗,2019,9791160507386,,https://image.aladin.co.kr/product/18680/62/cover/k882635561_1.jpg,0,,325.04,1,8,2019-06-29
용감한 소방차 레이,연두세상 편집부 [지음],연두세상,2019,9791187321255,,https://image.aladin.co.kr/product/18897/8/cover/k322635081_1.jpg,7,5,372.42,1,8,2019-06-29
뉴욕 100배 즐기기,홍수연;홍지윤 [공]지음,RHK(알에이치코리아),2019,9788925566221,,https://image.aladin.co.kr/product/18781/22/cover/8925566222_1.jpg,1,,984.22102,1,6,2019-06-29
"아무튼, 외국어:모든 나라에는 철수와 영희가 있다",조지영 지음,위고,2018,9791186602409,,https://image.aladin.co.kr/product/14437/77/cover/k152532246_1.jpg,0,,818,1,8,2019-06-29
(현직 초등 교사들이 알려 주는)초등 5·6학년 공부법의 모든 것,차수진;문주호;박인섭 [공]지음,꿈결,2017,9791188260249,,https://image.aladin.co.kr/product/12517/56/cover/k542532165_1.jpg,0,,373.4,1,9,2019-06-29
우리의 미니멀 생활 일기,SE 편집부 엮음;오연경 옮김,미메시스,2017,9791155351055,,http://image.aladin.co.kr/product/10745/23/cover/k572530854_1.jpg,0,,595.4,1,9,2019-06-29
썅년의 미학,민서영 글·그림,위즈덤하우스 미디어그룹,2018,9791162207505,,https://image.aladin.co.kr/product/15990/87/cover/k142533633_1.jpg,0,,818,1,11,2019-06-29
외동아이 이렇게 키웠습니다:엄마도 크고 아이도 크는 외동 엄마의 행복한 육아 비법,엄주하 지음,다독다독,2018,9788998171711,,http://image.aladin.co.kr/product/16844/91/cover/8998171716_1.jpg,0,,598.1,1,3,2019-06-29
여행의 이유:김영하 산문,김영하 지음,문학동네,2019,9788954655972,,https://image.aladin.co.kr/product/18827/60/cover/8954655971_2.jpg,0,,814.6,1,12,2019-06-29
숲에서 보낸 마법 같은 하루,베아트리체 알레마냐 지음;이세진 옮김,미디어창비,2017,9791186621455,,https://bookthumb-phinf.pstatic.net/cover/124/440/12444053.jpg?type=m1&udate=20170907,7,,863,1,5,2019-06-29
1분 동생,조성자 글;심윤정 그림,아이앤북,2011,9788992830911,,http://image.aladin.co.kr/product/1288/81/cover/8992830912_3.jpg,7,30,808.3,1,8,2019-06-29
이중톈 중국사,이중톈 지음;김택규 옮김,글항아리,2015,9788967351700,9788967350802,http://image.aladin.co.kr/product/5174/69/cover/8967351704_1.jpg,0,6,912,1,4,2019-06-29
레이튼 미스터리 탐정사무소:카트리에일의 수수께끼 파일,안치현 글;팀키즈 그림,미래엔,2019,9791164130535,,https://image.aladin.co.kr/product/18933/19/cover/k122635284_1.jpg,7,2,813.8,1,16,2019-06-29
나는 내가 죽었다고 생각했습니다:뇌과학자의 뇌가 멈춘 날,질 볼트 테일러 지음;장호연 옮김,윌북,2019,9791155811887,,https://bookthumb-phinf.pstatic.net/cover/141/532/14153265.jpg?type=m1&udate=20181111,0,,513.813,1,4,2019-06-29
색깔혁명=The color revoulution,홍순영 글;전병현 그림,Gasse(가쎄),2019,9788993489811,,https://image.aladin.co.kr/product/18636/78/cover/8993489815_1.jpg,0,,813.6,1,1,2019-06-29
물질과 기억,앙리 베르크손 지음;최화 역주,자유문고,2017,9788970301181,,https://image.aladin.co.kr/product/12538/81/cover/8970301186_1.jpg,9,,166.81,1,0,2019-06-29
세 번째 엄마,이규희 글;김지안 그림,아이앤북,2013,9788997430543,9788997430515,http://image.aladin.co.kr/product/3120/36/cover/8997430548_1.jpg,7,35,808.3,1,5,2019-06-29
헬시 홈:당신의 가족을 위협하는 집안의 비밀,마이런 웬츠;데이브 웬츠 [공]지음;윤승일 옮김,푸른솔,2019,9788993596892,,https://image.aladin.co.kr/product/17856/24/cover/8993596891_1.jpg,0,,517.46,1,0,2019-06-29
"아메리카의 망명자:칠레와 미국, 두번의 9ㆍ11 사이에서",아리엘 도르프만 지음;황정아 옮김,창비,2019,9788936477004,,https://image.aladin.co.kr/product/18712/8/cover/8936477005_1.jpg,0,,848,1,1,2019-06-29
제시이야기,박건웅 만화,우리나비,2016,9791186843116,,https://bookthumb-phinf.pstatic.net/cover/112/395/11239559.jpg?type=m1&udate=20170823,0,,816.6,1,1,2019-06-29
"작은 행성을 위한 몇 가지 혁명:지구를 구하기 위한 행동 지침서, 세상을 바꾸는 이야기와 전략",시릴 디옹 지음;권지현 옮김,갈라파고스,2019,9791187038412,,https://image.aladin.co.kr/product/18619/19/cover/k102635160_1.jpg,0,,539.98,1,2,2019-06-29
매일매일 힘을 주는 말:인사말과 감정 표현,박은정 글;우지현 그림,개암나무,2019,9788968302923,,https://bookthumb-phinf.pstatic.net/cover/107/281/10728152.jpg?type=m1&udate=20170225,7,,710,1,0,2019-06-29
"똥 싸면서 읽는 기독교 이야기:취업과 결혼, 진로… 그보다 더 현실적인 물음",차성진 지음;이단비 그림,아바서원,2019,9791185066837,,https://image.aladin.co.kr/product/17952/5/cover/k102534235_1.jpg,0,,234.8,1,1,2019-06-29
자동차 주말여행 코스북:여행 계획 필요 없이 무작정 Go!,유연태 외 지음,길벗,2018,9791186978788,,http://image.aladin.co.kr/product/8042/14/cover/k932434744_1.jpg,1,,981.102,1,3,2019-06-29
"Gigged:The Gig Economy, the End of the Job and the Future of Work",by Sarah Kessler,Cornerstone,2018,9781847941732,,,9,,42g,1,1,2019-06-29
가짜감정:아무리 노력해도 당신이 행복하지 못한 이유,김용태 지음,알피코프,2018,9791185716039,,https://bookthumb-phinf.pstatic.net/cover/084/012/08401239.jpg?type=m1&udate=20180530,0,,181.71,1,2,2019-06-29
눈만 뜨면 눈 걱정:안과 의사 패트리샤 배스,줄리아 핀리 모스카 글;대니얼 리얼리 그림;길상효 옮김,씨드북(주),2018,9791160512243,,https://image.aladin.co.kr/product/17605/37/cover/k362534019_1.jpg,7,9,990.8,1,4,2019-06-29
글자 풍경:글자에 아로새긴 스물일곱 가지 세상,유지원 지음,을유문화사,2019,9788932473956,,https://image.aladin.co.kr/product/17959/65/cover/8932473951_1.jpg,0,,818,1,3,2019-06-29
내가 좋아하는 것과 단순하게 살기,오쿠나카 나오미 지음;박선형 옮김,진선출판사,2017,9788972219958,,http://image.aladin.co.kr/product/12569/48/cover/8972219959_1.jpg,1,,595.4,1,6,2019-06-29
